546	65618
280	63821
4299	63611
2521	58327
253	45613
4845	43747
4929	42081
1773	40199
2939	36825
555	35296
3025	35104
4780	32603
482	32071
10809	30600
9020	30328
9070	30227
11017	28380
15214	27386
9868	25504
8829	24436
15050	24085
249	23403
12528	22325
9185	21350
9530	21311
2885	21036
700	20836
15639	20016
1310	18976
9240	18765
9602	18238
4420	17999
419	17348
1987	17205
8908	15753
4171	15566
9513	14873
24859	12709
898	11702
2093	10734
25012	9572
289	9503
9270	8229
1209	7601
2062	6759
585	5810
1981	5647
12182	5624
2081	5604
9595	5336
335	5311
956	4433
7093	2785
9768	2680
883	2581
9297	756
24886	675
917	541
959	499
24891	442
24904	422
24893	345
2497	279
24880	196
24869	73
