280	53898
546	51881
4299	45421
2521	40692
253	33289
4845	32309
2939	32195
1773	30945
555	30067
4929	29961
482	29853
3025	27957
9020	25595
10809	23342
4780	22282
11017	22165
9868	21564
9070	20677
15214	20256
249	19852
8829	19564
15050	19115
12528	17590
9185	16532
700	15590
15639	15533
9530	15338
2885	15235
1310	15073
9602	14843
9240	14564
1987	12778
419	11990
4420	11928
9513	11745
8908	11016
4171	10947
24859	10865
2093	9308
898	7375
25012	7260
289	5775
585	4429
9270	4360
1981	4343
1209	3985
956	3846
2062	3763
9595	3712
335	3524
2081	3189
12182	2981
7093	2460
9768	1759
883	962
917	586
9297	319
24886	301
24891	241
959	229
24904	185
24893	140
2497	109
24880	74
24869	30
