280	117719
546	117499
4299	109032
2521	99019
253	78902
4845	76056
4929	72042
1773	71144
2939	69020
555	65363
3025	63061
482	61924
9020	55923
4780	54885
10809	53942
9070	50904
11017	50545
15214	47642
9868	47068
8829	44000
249	43255
15050	43200
12528	39915
9185	37882
9530	36649
700	36426
2885	36271
15639	35549
1310	34049
9240	33329
9602	33081
1987	29983
4420	29927
419	29338
8908	26769
9513	26618
4171	26513
24859	23574
2093	20042
898	19077
25012	16832
289	15278
9270	12589
1209	11586
2062	10522
585	10239
1981	9990
9595	9048
335	8835
2081	8793
12182	8605
956	8279
7093	5245
9768	4439
883	3543
917	1127
9297	1075
24886	976
959	728
24891	683
24904	607
24893	485
2497	388
24880	270
24869	103
