4299	18190
2521	17635
546	13737
253	12324
4929	12120
4845	11438
4780	10321
280	9923
9070	9550
1773	9254
10809	7258
3025	7147
15214	7130
11017	6215
4420	6071
9530	5973
2885	5801
419	5358
700	5246
555	5229
15050	4970
8829	4872
9185	4818
8908	4737
12528	4735
9020	4733
2939	4630
4171	4619
15639	4483
1987	4427
898	4327
9240	4201
9868	3940
1310	3903
9270	3869
289	3728
1209	3616
249	3551
9602	3395
9513	3128
2062	2996
12182	2643
2081	2415
25012	2312
482	2218
24859	1844
335	1787
9595	1624
883	1619
2093	1426
585	1381
1981	1304
9768	921
956	587
9297	437
24886	374
7093	325
959	270
24904	237
24893	205
24891	201
2497	170
24880	122
24869	43
917	-45
